Wavenumbers,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
cm-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1930.878,-1.01E-05,-1.58E-05,-1.09E-05,-2.77E-05,-8.13E-05,-2.77E-05,9.57E-06,-2.94E-05,-5.83E-06,3.28E-05,3.39E-05,-1.47E-05,1.93E-05,9.19E-05,9.50E-05,1.99E-05
1931.36,-5.97E-06,-1.88E-05,-9.12E-06,-2.60E-05,-8.78E-05,-3.95E-05,-7.23E-06,-4.30E-05,-2.28E-05,1.29E-05,1.81E-05,-3.75E-05,-3.76E-06,6.56E-05,7.22E-05,-4.23E-08
1931.842,-2.24E-06,-2.33E-05,-7.77E-06,-2.32E-05,-9.11E-05,-4.80E-05,-2.35E-05,-5.54E-05,-3.53E-05,-4.73E-06,4.86E-06,-5.58E-05,-2.35E-05,4.30E-05,5.15E-05,-1.67E-05
1932.324,9.02E-07,-2.86E-05,-7.19E-06,-1.92E-05,-8.89E-05,-4.73E-05,-3.19E-05,-5.90E-05,-3.58E-05,-1.17E-05,2.58E-06,-6.01E-05,-3.01E-05,3.44E-05,4.31E-05,-2.02E-05
1932.806,3.84E-06,-3.35E-05,-6.97E-06,-1.35E-05,-8.08E-05,-3.65E-05,-2.99E-05,-5.12E-05,-2.25E-05,-5.59E-06,1.33E-05,-4.74E-05,-2.03E-05,4.25E-05,5.06E-05,-8.08E-06
1933.288,6.35E-06,-3.68E-05,-7.02E-06,-7.49E-06,-7.00E-05,-2.02E-05,-2.15E-05,-3.70E-05,-2.18E-06,7.28E-06,3.05E-05,-2.45E-05,-6.95E-07,6.03E-05,6.73E-05,1.25E-05
1933.771,8.36E-06,-3.72E-05,-6.86E-06,-1.99E-06,-5.99E-05,-5.30E-06,-1.34E-05,-2.44E-05,1.53E-05,1.70E-05,4.41E-05,-2.40E-06,1.75E-05,7.61E-05,8.26E-05,3.01E-05
1934.253,9.74E-06,-3.46E-05,-6.21E-06,1.75E-06,-5.38E-05,2.27E-06,-1.18E-05,-2.08E-05,2.11E-05,1.52E-05,4.58E-05,8.62E-06,2.45E-05,7.93E-05,8.66E-05,3.47E-05
1934.735,1.04E-05,-2.94E-05,-4.87E-06,3.50E-06,-5.19E-05,1.02E-06,-1.79E-05,-2.79E-05,1.33E-05,8.51E-07,3.41E-05,5.73E-06,1.78E-05,6.71E-05,7.71E-05,2.42E-05
1935.217,1.04E-05,-2.22E-05,-2.62E-06,3.82E-06,-5.17E-05,-5.31E-06,-2.78E-05,-4.09E-05,-2.59E-06,-1.93E-05,1.54E-05,-5.63E-06,3.37E-06,4.56E-05,6.05E-05,6.05E-06
1935.699,1.00E-05,-1.46E-05,4.15E-07,3.61E-06,-4.98E-05,-1.00E-05,-3.40E-05,-5.13E-05,-1.65E-05,-3.37E-05,2.83E-07,-1.53E-05,-7.66E-06,2.61E-05,4.84E-05,-8.08E-06
1936.181,9.25E-06,-7.86E-06,3.75E-06,3.37E-06,-4.40E-05,-7.66E-06,-3.13E-05,-5.23E-05,-2.05E-05,-3.35E-05,-2.80E-06,-1.42E-05,-6.37E-06,1.88E-05,5.02E-05,-8.13E-06
1936.663,7.78E-06,-2.85E-06,6.53E-06,2.69E-06,-3.50E-05,2.73E-06,-2.01E-05,-4.27E-05,-1.31E-05,-1.75E-05,6.83E-06,-1.30E-06,8.55E-06,2.55E-05,6.69E-05,7.25E-06
1937.145,5.41E-06,-1.21E-09,8.01E-06,9.24E-07,-2.62E-05,1.72E-05,-5.54E-06,-2.81E-05,-2.74E-07,7.15E-06,2.22E-05,1.70E-05,3.01E-05,4.01E-05,9.13E-05,3.07E-05
1937.627,1.49E-06,5.28E-07,6.77E-06,-2.81E-06,-2.23E-05,2.84E-05,3.51E-06,-1.74E-05,8.05E-06,2.82E-05,3.24E-05,2.97E-05,4.63E-05,5.12E-05,1.11E-04,4.93E-05
1938.11,-4.13E-06,-9.00E-07,2.37E-06,-8.49E-06,-2.58E-05,3.11E-05,1.65E-06,-1.74E-05,4.69E-06,3.61E-05,2.96E-05,2.87E-05,4.86E-05,5.02E-05,1.16E-04,5.39E-05
1938.592,-1.12E-05,-3.79E-06,-5.11E-06,-1.47E-05,-3.59E-05,2.44E-05,-1.09E-05,-2.91E-05,-1.10E-05,2.86E-05,1.39E-05,1.40E-05,3.60E-05,3.62E-05,1.05E-04,4.28E-05
1939.074,-1.85E-05,-7.11E-06,-1.45E-05,-1.89E-05,-4.79E-05,1.26E-05,-2.70E-05,-4.64E-05,-3.15E-05,1.25E-05,-6.04E-06,-5.93E-06,1.67E-05,1.70E-05,8.58E-05,2.43E-05
1939.556,-2.46E-05,-9.73E-06,-2.38E-05,-1.87E-05,-5.63E-05,2.78E-06,-3.72E-05,-5.97E-05,-4.57E-05,-5.66E-07,-1.81E-05,-1.85E-05,3.58E-06,4.64E-06,7.17E-05,1.10E-05
1940.038,-2.76E-05,-1.03E-05,-3.09E-05,-1.25E-05,-5.62E-05,1.21E-06,-3.39E-05,-6.15E-05,-4.52E-05,-7.87E-08,-1.27E-05,-1.36E-05,6.73E-06,9.04E-06,7.31E-05,1.37E-05
1940.52,-2.63E-05,-7.48E-06,-3.34E-05,-3.47E-07,-4.67E-05,9.67E-06,-1.63E-05,-5.00E-05,-2.88E-05,1.69E-05,1.12E-05,1.01E-05,2.82E-05,3.17E-05,9.15E-05,3.42E-05
1941.002,-2.02E-05,-1.81E-07,-2.99E-05,1.57E-05,-3.09E-05,2.45E-05,9.36E-06,-3.07E-05,-3.26E-06,4.49E-05,4.54E-05,4.44E-05,6.03E-05,6.44E-05,1.19E-04,6.51E-05
1941.484,-1.04E-05,1.17E-05,-2.05E-05,3.27E-05,-1.49E-05,3.89E-05,3.27E-05,-1.26E-05,1.94E-05,7.26E-05,7.65E-05,7.52E-05,8.96E-05,9.36E-05,1.43E-04,9.25E-05
1941.967,1.00E-06,2.72E-05,-7.12E-06,4.76E-05,-3.82E-06,4.65E-05,4.51E-05,-3.34E-06,2.95E-05,8.97E-05,9.30E-05,9.04E-05,1.05E-04,1.08E-04,1.52E-04,1.05E-04
1942.448,1.16E-05,4.45E-05,8.26E-06,5.85E-05,-2.26E-08,4.59E-05,4.42E-05,-4.23E-06,2.51E-05,9.31E-05,9.23E-05,8.65E-05,1.03E-04,1.05E-04,1.42E-04,1.01E-04
1942.931,1.92E-05,6.07E-05,2.26E-05,6.54E-05,-2.14E-06,3.99E-05,3.47E-05,-1.02E-05,1.25E-05,8.75E-05,8.09E-05,6.98E-05,8.99E-05,9.19E-05,1.23E-04,8.55E-05
1943.413,2.24E-05,7.32E-05,3.40E-05,6.89E-05,-6.42E-06,3.47E-05,2.51E-05,-1.32E-05,2.02E-06,8.17E-05,7.00E-05,5.17E-05,7.80E-05,8.03E-05,1.06E-04,7.14E-05
1943.895,2.10E-05,8.01E-05,4.08E-05,6.98E-05,-9.38E-06,3.50E-05,2.24E-05,-7.77E-06,2.02E-06,8.34E-05,6.90E-05,4.22E-05,7.65E-05,8.01E-05,1.01E-04,6.78E-05
