Wavenumbers,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
cm-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1921.718,1.16E-04,1.46E-04,9.42E-05,-2.44E-06,-1.49E-04,-2.30E-04,-2.07E-04,-2.30E-04,-2.04E-04,-1.63E-04,-1.58E-04,-1.95E-04,-1.55E-04,-1.24E-04,-1.04E-04,-9.84E-05
1922.2,1.22E-04,1.58E-04,1.02E-04,2.98E-06,-1.38E-04,-2.29E-04,-1.98E-04,-2.21E-04,-1.89E-04,-1.52E-04,-1.36E-04,-1.76E-04,-1.33E-04,-1.06E-04,-8.23E-05,-7.46E-05
1922.682,1.24E-04,1.64E-04,1.05E-04,3.21E-06,-1.39E-04,-2.41E-04,-2.04E-04,-2.28E-04,-1.92E-04,-1.57E-04,-1.33E-04,-1.79E-04,-1.31E-04,-1.09E-04,-8.42E-05,-7.46E-05
1923.164,1.20E-04,1.63E-04,1.02E-04,-3.63E-06,-1.55E-04,-2.67E-04,-2.25E-04,-2.55E-04,-2.18E-04,-1.84E-04,-1.55E-04,-2.08E-04,-1.55E-04,-1.39E-04,-1.15E-04,-1.05E-04
1923.646,1.12E-04,1.55E-04,9.24E-05,-1.68E-05,-1.82E-04,-3.02E-04,-2.57E-04,-2.97E-04,-2.59E-04,-2.27E-04,-1.97E-04,-2.58E-04,-1.96E-04,-1.88E-04,-1.68E-04,-1.59E-04
1924.128,9.98E-05,1.42E-04,7.96E-05,-3.34E-05,-2.13E-04,-3.39E-04,-2.92E-04,-3.41E-04,-3.03E-04,-2.74E-04,-2.46E-04,-3.14E-04,-2.42E-04,-2.42E-04,-2.27E-04,-2.19E-04
1924.61,8.65E-05,1.27E-04,6.62E-05,-5.07E-05,-2.42E-04,-3.69E-04,-3.20E-04,-3.78E-04,-3.41E-04,-3.13E-04,-2.89E-04,-3.63E-04,-2.79E-04,-2.87E-04,-2.77E-04,-2.70E-04
1925.092,7.39E-05,1.12E-04,5.49E-05,-6.62E-05,-2.66E-04,-3.88E-04,-3.39E-04,-4.02E-04,-3.65E-04,-3.38E-04,-3.21E-04,-3.96E-04,-2.99E-04,-3.15E-04,-3.11E-04,-3.04E-04
1925.574,6.29E-05,9.79E-05,4.62E-05,-7.93E-05,-2.84E-04,-3.99E-04,-3.51E-04,-4.17E-04,-3.81E-04,-3.53E-04,-3.42E-04,-4.16E-04,-3.06E-04,-3.30E-04,-3.29E-04,-3.22E-04
1926.057,5.34E-05,8.44E-05,3.97E-05,-9.05E-05,-3.00E-04,-4.08E-04,-3.63E-04,-4.29E-04,-3.94E-04,-3.65E-04,-3.60E-04,-4.29E-04,-3.11E-04,-3.41E-04,-3.42E-04,-3.34E-04
1926.539,4.53E-05,7.06E-05,3.43E-05,-1.01E-04,-3.16E-04,-4.21E-04,-3.81E-04,-4.45E-04,-4.13E-04,-3.83E-04,-3.83E-04,-4.44E-04,-3.24E-04,-3.57E-04,-3.58E-04,-3.50E-04
1927.021,3.80E-05,5.60E-05,2.87E-05,-1.11E-04,-3.34E-04,-4.41E-04,-4.06E-04,-4.67E-04,-4.40E-04,-4.08E-04,-4.13E-04,-4.66E-04,-3.48E-04,-3.82E-04,-3.80E-04,-3.75E-04
1927.503,3.14E-05,4.07E-05,2.25E-05,-1.20E-04,-3.54E-04,-4.63E-04,-4.34E-04,-4.90E-04,-4.69E-04,-4.37E-04,-4.46E-04,-4.90E-04,-3.80E-04,-4.13E-04,-4.04E-04,-4.04E-04
1927.985,2.58E-05,2.56E-05,1.55E-05,-1.30E-04,-3.71E-04,-4.84E-04,-4.59E-04,-5.09E-04,-4.93E-04,-4.63E-04,-4.74E-04,-5.09E-04,-4.10E-04,-4.41E-04,-4.22E-04,-4.30E-04
1928.467,2.13E-05,1.22E-05,8.53E-06,-1.40E-04,-3.85E-04,-4.98E-04,-4.75E-04,-5.18E-04,-5.05E-04,-4.78E-04,-4.90E-04,-5.17E-04,-4.31E-04,-4.58E-04,-4.27E-04,-4.43E-04
1928.949,1.78E-05,1.45E-06,2.12E-06,-1.49E-04,-3.95E-04,-5.04E-04,-4.81E-04,-5.15E-04,-5.03E-04,-4.80E-04,-4.94E-04,-5.14E-04,-4.39E-04,-4.65E-04,-4.20E-04,-4.44E-04
1929.431,1.55E-05,-5.44E-06,-2.77E-06,-1.58E-04,-4.02E-04,-5.04E-04,-4.81E-04,-5.07E-04,-4.95E-04,-4.76E-04,-4.91E-04,-5.05E-04,-4.39E-04,-4.65E-04,-4.09E-04,-4.37E-04
1929.914,1.41E-05,-8.02E-06,-5.30E-06,-1.66E-04,-4.09E-04,-5.01E-04,-4.81E-04,-5.00E-04,-4.89E-04,-4.72E-04,-4.89E-04,-5.00E-04,-4.41E-04,-4.68E-04,-4.02E-04,-4.33E-04
1930.396,1.35E-05,-6.06E-06,-4.79E-06,-1.73E-04,-4.17E-04,-5.02E-04,-4.85E-04,-5.00E-04,-4.92E-04,-4.76E-04,-4.95E-04,-5.04E-04,-4.51E-04,-4.79E-04,-4.10E-04,-4.38E-04
1930.878,1.45E-05,4.02E-07,-9.93E-07,-1.77E-04,-4.26E-04,-5.06E-04,-4.95E-04,-5.08E-04,-5.05E-04,-4.89E-04,-5.09E-04,-5.17E-04,-4.70E-04,-4.99E-04,-4.31E-04,-4.54E-04
1931.36,1.72E-05,1.06E-05,5.75E-06,-1.77E-04,-4.32E-04,-5.13E-04,-5.06E-04,-5.19E-04,-5.23E-04,-5.06E-04,-5.25E-04,-5.32E-04,-4.93E-04,-5.19E-04,-4.58E-04,-4.73E-04
1931.842,2.21E-05,2.31E-05,1.46E-05,-1.72E-04,-4.33E-04,-5.17E-04,-5.13E-04,-5.26E-04,-5.36E-04,-5.17E-04,-5.34E-04,-5.41E-04,-5.09E-04,-5.29E-04,-4.80E-04,-4.84E-04
1932.324,2.89E-05,3.60E-05,2.35E-05,-1.62E-04,-4.29E-04,-5.17E-04,-5.12E-04,-5.26E-04,-5.39E-04,-5.17E-04,-5.30E-04,-5.35E-04,-5.12E-04,-5.24E-04,-4.87E-04,-4.81E-04
1932.806,3.67E-05,4.67E-05,3.11E-05,-1.51E-04,-4.21E-04,-5.12E-04,-5.02E-04,-5.18E-04,-5.32E-04,-5.05E-04,-5.15E-04,-5.18E-04,-5.02E-04,-5.03E-04,-4.79E-04,-4.62E-04
1933.288,4.40E-05,5.33E-05,3.56E-05,-1.43E-04,-4.14E-04,-5.06E-04,-4.91E-04,-5.08E-04,-5.21E-04,-4.89E-04,-4.96E-04,-4.97E-04,-4.87E-04,-4.79E-04,-4.63E-04,-4.38E-04
1933.771,4.92E-05,5.49E-05,3.69E-05,-1.39E-04,-4.13E-04,-5.04E-04,-4.84E-04,-5.05E-04,-5.15E-04,-4.79E-04,-4.84E-04,-4.84E-04,-4.78E-04,-4.62E-04,-4.52E-04,-4.19E-04
1934.253,5.12E-05,5.18E-05,3.58E-05,-1.40E-04,-4.18E-04,-5.09E-04,-4.87E-04,-5.13E-04,-5.21E-04,-4.82E-04,-4.87E-04,-4.87E-04,-4.84E-04,-4.64E-04,-4.56E-04,-4.16E-04
1934.735,4.96E-05,4.63E-05,3.43E-05,-1.47E-04,-4.30E-04,-5.21E-04,-4.99E-04,-5.29E-04,-5.39E-04,-5.00E-04,-5.05E-04,-5.07E-04,-5.03E-04,-4.84E-04,-4.74E-04,-4.29E-04
1935.217,4.48E-05,4.04E-05,3.41E-05,-1.56E-04,-4.43E-04,-5.36E-04,-5.15E-04,-5.48E-04,-5.62E-04,-5.25E-04,-5.29E-04,-5.36E-04,-5.30E-04,-5.15E-04,-5.02E-04,-4.53E-04
1935.699,3.78E-05,3.69E-05,3.62E-05,-1.65E-04,-4.54E-04,-5.51E-04,-5.29E-04,-5.59E-04,-5.81E-04,-5.48E-04,-5.49E-04,-5.62E-04,-5.51E-04,-5.44E-04,-5.28E-04,-4.75E-04
1936.181,3.03E-05,3.69E-05,4.05E-05,-1.72E-04,-4.57E-04,-5.60E-04,-5.35E-04,-5.58E-04,-5.89E-04,-5.58E-04,-5.54E-04,-5.76E-04,-5.58E-04,-5.60E-04,-5.41E-04,-4.87E-04
1936.663,2.30E-05,4.01E-05,4.56E-05,-1.75E-04,-4.54E-04,-5.65E-04,-5.34E-04,-5.46E-04,-5.86E-04,-5.56E-04,-5.45E-04,-5.77E-04,-5.50E-04,-5.61E-04,-5.40E-04,-4.88E-04
1937.145,1.80E-05,4.58E-05,5.03E-05,-1.74E-04,-4.46E-04,-5.67E-04,-5.30E-04,-5.30E-04,-5.76E-04,-5.44E-04,-5.27E-04,-5.69E-04,-5.34E-04,-5.51E-04,-5.30E-04,-4.81E-04
1937.627,1.62E-05,5.26E-05,5.39E-05,-1.70E-04,-4.38E-04,-5.70E-04,-5.30E-04,-5.18E-04,-5.69E-04,-5.30E-04,-5.10E-04,-5.63E-04,-5.19E-04,-5.39E-04,-5.18E-04,-4.76E-04
1938.11,1.92E-05,6.03E-05,5.68E-05,-1.63E-04,-4.30E-04,-5.74E-04,-5.35E-04,-5.14E-04,-5.67E-04,-5.20E-04,-4.98E-04,-5.61E-04,-5.11E-04,-5.31E-04,-5.10E-04,-4.76E-04
1938.592,2.80E-05,7.00E-05,6.11E-05,-1.50E-04,-4.22E-04,-5.75E-04,-5.44E-04,-5.16E-04,-5.69E-04,-5.11E-04,-4.93E-04,-5.64E-04,-5.10E-04,-5.26E-04,-5.03E-04,-4.78E-04
1939.074,4.35E-05,8.32E-05,6.92E-05,-1.31E-04,-4.09E-04,-5.68E-04,-5.47E-04,-5.16E-04,-5.65E-04,-4.98E-04,-4.84E-04,-5.60E-04,-5.06E-04,-5.14E-04,-4.87E-04,-4.71E-04
1939.556,6.57E-05,1.01E-04,8.26E-05,-1.04E-04,-3.89E-04,-5.48E-04,-5.38E-04,-5.04E-04,-5.48E-04,-4.73E-04,-4.63E-04,-5.40E-04,-4.88E-04,-4.85E-04,-4.53E-04,-4.45E-04
1940.038,9.28E-05,1.25E-04,1.01E-04,-7.18E-05,-3.61E-04,-5.13E-04,-5.11E-04,-4.76E-04,-5.11E-04,-4.31E-04,-4.23E-04,-4.98E-04,-4.49E-04,-4.35E-04,-3.96E-04,-3.92E-04
1940.52,1.22E-04,1.51E-04,1.21E-04,-3.77E-05,-3.28E-04,-4.70E-04,-4.71E-04,-4.34E-04,-4.59E-04,-3.78E-04,-3.70E-04,-4.37E-04,-3.93E-04,-3.69E-04,-3.22E-04,-3.20E-04
1941.002,1.49E-04,1.76E-04,1.40E-04,-7.62E-06,-2.98E-04,-4.27E-04,-4.27E-04,-3.91E-04,-4.06E-04,-3.27E-04,-3.15E-04,-3.74E-04,-3.33E-04,-3.01E-04,-2.48E-04,-2.45E-04
1941.484,1.71E-04,1.95E-04,1.51E-04,1.24E-05,-2.78E-04,-3.97E-04,-3.93E-04,-3.61E-04,-3.69E-04,-2.92E-04,-2.76E-04,-3.25E-04,-2.88E-04,-2.50E-04,-1.94E-04,-1.89E-04
1941.967,1.85E-04,2.05E-04,1.53E-04,1.82E-05,-2.76E-04,-3.88E-04,-3.79E-04,-3.55E-04,-3.60E-04,-2.86E-04,-2.65E-04,-3.07E-04,-2.72E-04,-2.32E-04,-1.75E-04,-1.68E-04
1942.448,1.89E-04,2.03E-04,1.43E-04,9.36E-06,-2.90E-04,-3.98E-04,-3.88E-04,-3.73E-04,-3.80E-04,-3.07E-04,-2.85E-04,-3.21E-04,-2.87E-04,-2.47E-04,-1.94E-04,-1.84E-04
1942.931,1.85E-04,1.90E-04,1.26E-04,-1.14E-05,-3.16E-04,-4.23E-04,-4.13E-04,-4.09E-04,-4.20E-04,-3.46E-04,-3.26E-04,-3.59E-04,-3.26E-04,-2.87E-04,-2.40E-04,-2.29E-04
1943.413,1.75E-04,1.70E-04,1.03E-04,-3.91E-05,-3.48E-04,-4.52E-04,-4.43E-04,-4.49E-04,-4.67E-04,-3.89E-04,-3.74E-04,-4.05E-04,-3.74E-04,-3.35E-04,-2.95E-04,-2.84E-04
1943.895,1.62E-04,1.47E-04,8.08E-05,-6.81E-05,-3.77E-04,-4.77E-04,-4.71E-04,-4.82E-04,-5.07E-04,-4.22E-04,-4.17E-04,-4.45E-04,-4.16E-04,-3.76E-04,-3.43E-04,-3.34E-04
1944.377,1.48E-04,1.25E-04,6.14E-05,-9.43E-05,-4.01E-04,-4.96E-04,-4.91E-04,-5.05E-04,-5.34E-04,-4.41E-04,-4.47E-04,-4.73E-04,-4.48E-04,-4.04E-04,-3.76E-04,-3.71E-04
