Wavenumbers,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,,,,,,,,,,
cm-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,
2269.324,-4.64E-05,-5.10E-05,-2.00E-05,-4.47E-06,-7.65E-05,2.32E-05,-3.68E-05,-6.33E-06,-3.69E-05,-3.69E-05,7.43E-06,-3.08E-05,-3.99E-05,-4.35E-05,-5.31E-06,-2.54E-05,,,,,,,,,,
2269.806,-4.04E-05,-3.06E-05,-1.17E-06,-3.60E-06,-6.83E-05,2.87E-05,-2.63E-05,9.61E-07,-4.85E-05,-4.85E-05,1.66E-05,-7.79E-06,-2.50E-05,-4.07E-05,5.77E-06,-2.27E-05,,,,,,,,,,
2270.288,-3.58E-05,-1.26E-05,1.40E-05,-3.50E-06,-5.56E-05,3.25E-05,-2.03E-05,5.69E-06,-6.06E-05,-6.06E-05,2.29E-05,1.27E-05,-1.37E-05,-3.94E-05,1.48E-05,-2.10E-05,,,,,,,,,,
2270.77,-3.12E-05,2.11E-06,2.49E-05,-3.24E-06,-3.93E-05,3.54E-05,-1.83E-05,9.87E-06,-6.99E-05,-6.99E-05,2.78E-05,2.87E-05,-5.87E-06,-3.87E-05,2.09E-05,-2.00E-05,,,,,,,,,,
2271.252,-2.60E-05,1.30E-05,3.18E-05,-1.99E-06,-2.08E-05,3.81E-05,-1.89E-05,1.52E-05,-7.43E-05,-7.43E-05,3.28E-05,3.89E-05,-4.88E-07,-3.78E-05,2.44E-05,-1.90E-05,,,,,,,,,,
2271.734,-1.98E-05,2.00E-05,3.59E-05,3.29E-07,-1.76E-06,4.06E-05,-2.07E-05,2.28E-05,-7.24E-05,-7.24E-05,3.88E-05,4.30E-05,4.16E-06,-3.61E-05,2.63E-05,-1.72E-05,,,,,,,,,,
2272.217,-1.35E-05,2.31E-05,3.86E-05,3.06E-06,1.56E-05,4.23E-05,-2.21E-05,3.22E-05,-6.44E-05,-6.44E-05,4.58E-05,4.16E-05,8.91E-06,-3.32E-05,2.76E-05,-1.47E-05,,,,,,,,,,
2272.698,-8.05E-06,2.27E-05,4.11E-05,5.28E-06,2.94E-05,4.27E-05,-2.17E-05,4.21E-05,-5.16E-05,-5.16E-05,5.33E-05,3.67E-05,1.41E-05,-2.92E-05,2.99E-05,-1.16E-05,,,,,,,,,,
2273.181,-4.88E-06,1.96E-05,4.37E-05,5.71E-06,3.84E-05,4.07E-05,-1.89E-05,5.02E-05,-3.64E-05,-3.64E-05,6.00E-05,3.00E-05,1.90E-05,-2.46E-05,3.33E-05,-8.67E-06,,,,,,,,,,
2273.663,-5.18E-06,1.45E-05,4.61E-05,3.42E-06,4.13E-05,3.61E-05,-1.47E-05,5.41E-05,-2.16E-05,-2.16E-05,6.41E-05,2.29E-05,2.13E-05,-2.07E-05,3.68E-05,-7.54E-06,,,,,,,,,,
2274.145,-9.62E-06,7.95E-06,4.69E-05,-2.12E-06,3.81E-05,2.84E-05,-1.06E-05,5.18E-05,-9.90E-06,-9.90E-06,6.38E-05,1.64E-05,1.90E-05,-1.90E-05,3.89E-05,-9.58E-06,,,,,,,,,,
2274.627,-1.82E-05,4.37E-07,4.53E-05,-1.04E-05,2.92E-05,1.81E-05,-8.90E-06,4.30E-05,-3.06E-06,-3.06E-06,5.83E-05,1.06E-05,1.08E-05,-2.09E-05,3.76E-05,-1.60E-05,,,,,,,,,,
2275.109,-3.00E-05,-8.09E-06,4.06E-05,-2.03E-05,1.60E-05,5.71E-06,-1.16E-05,2.83E-05,-1.88E-06,-1.88E-06,4.74E-05,5.05E-06,-3.95E-06,-2.73E-05,3.17E-05,-2.69E-05,,,,,,,,,,
2275.591,-4.34E-05,-1.76E-05,3.34E-05,-3.01E-05,3.56E-07,-7.73E-06,-1.94E-05,1.04E-05,-5.62E-06,-5.62E-06,3.19E-05,-6.96E-07,-2.38E-05,-3.82E-05,2.12E-05,-4.12E-05,,,,,,,,,,
2276.073,-5.66E-05,-2.79E-05,2.48E-05,-3.76E-05,-1.53E-05,-2.12E-05,-3.13E-05,-7.56E-06,-1.24E-05,-1.24E-05,1.40E-05,-6.79E-06,-4.63E-05,-5.24E-05,7.52E-06,-5.66E-05,,,,,,,,,,
2276.555,-6.76E-05,-3.81E-05,1.64E-05,-4.11E-05,-2.90E-05,-3.32E-05,-4.50E-05,-2.20E-05,-1.95E-05,-1.95E-05,-3.85E-06,-1.30E-05,-6.77E-05,-6.79E-05,-6.77E-06,-7.05E-05,,,,,,,,,,
2277.038,-7.44E-05,-4.69E-05,9.91E-06,-3.89E-05,-3.87E-05,-4.21E-05,-5.69E-05,-2.97E-05,-2.38E-05,-2.38E-05,-1.85E-05,-1.82E-05,-8.39E-05,-8.15E-05,-1.81E-05,-7.99E-05,,,,,,,,,,
2277.52,-7.62E-05,-5.27E-05,5.85E-06,-3.11E-05,-4.36E-05,-4.67E-05,-6.38E-05,-2.96E-05,-2.31E-05,-2.31E-05,-2.81E-05,-2.14E-05,-9.20E-05,-9.10E-05,-2.36E-05,-8.31E-05,,,,,,,,,,
2278.002,-7.27E-05,-5.39E-05,4.28E-06,-1.77E-05,-4.36E-05,-4.60E-05,-6.33E-05,-2.14E-05,-1.64E-05,-1.64E-05,-3.14E-05,-2.16E-05,-9.02E-05,-9.43E-05,-2.16E-05,-7.92E-05,,,,,,,,,,
2278.484,-6.47E-05,-5.01E-05,4.37E-06,-1.05E-06,-4.00E-05,-4.04E-05,-5.57E-05,-7.35E-06,-4.41E-06,-4.41E-06,-2.91E-05,-1.88E-05,-7.93E-05,-9.12E-05,-1.19E-05,-6.92E-05,,,,,,,,,,
2278.966,-5.28E-05,-4.16E-05,5.53E-06,1.69E-05,-3.41E-05,-3.09E-05,-4.24E-05,9.89E-06,1.08E-05,1.08E-05,-2.28E-05,-1.31E-05,-6.13E-05,-8.19E-05,4.14E-06,-5.44E-05,,,,,,,,,,
2279.448,-3.89E-05,-3.08E-05,6.56E-06,3.31E-05,-2.83E-05,-2.02E-05,-2.74E-05,2.66E-05,2.58E-05,2.58E-05,-1.57E-05,-6.84E-06,-4.01E-05,-6.89E-05,2.28E-05,-3.72E-05,,,,,,,,,,
2279.93,-2.46E-05,-1.98E-05,7.05E-06,4.52E-05,-2.45E-05,-1.11E-05,-1.42E-05,3.92E-05,3.69E-05,3.69E-05,-1.03E-05,-1.76E-06,-2.02E-05,-5.45E-05,4.07E-05,-2.04E-05,,,,,,,,,,
2280.412,-1.13E-05,-1.16E-05,6.63E-06,5.14E-05,-2.36E-05,-6.30E-06,-5.88E-06,4.56E-05,4.16E-05,4.16E-05,-8.62E-06,2.49E-07,-4.89E-06,-4.11E-05,5.40E-05,-6.05E-06,,,,,,,,,,
2280.895,-1.05E-07,-7.39E-06,5.33E-06,5.18E-05,-2.57E-05,-7.33E-06,-3.37E-06,4.51E-05,3.96E-05,3.96E-05,-1.14E-05,-2.06E-06,3.81E-06,-3.01E-05,6.06E-05,4.49E-06,,,,,,,,,,
2281.377,8.23E-06,-7.45E-06,3.12E-06,4.69E-05,-3.01E-05,-1.45E-05,-6.29E-06,3.84E-05,3.16E-05,3.16E-05,-1.80E-05,-8.44E-06,5.69E-06,-2.21E-05,5.97E-05,1.03E-05,,,,,,,,,,
2281.859,1.37E-05,-1.02E-05,3.38E-07,3.91E-05,-3.47E-05,-2.59E-05,-1.23E-05,2.76E-05,2.06E-05,2.06E-05,-2.67E-05,-1.76E-05,2.34E-06,-1.64E-05,5.24E-05,1.17E-05,,,,,,,,,,
2282.341,1.61E-05,-1.33E-05,-2.34E-06,3.06E-05,-3.78E-05,-3.88E-05,-1.85E-05,1.60E-05,1.02E-05,1.02E-05,-3.53E-05,-2.69E-05,-3.63E-06,-1.18E-05,4.17E-05,9.90E-06,,,,,,,,,,
2282.823,1.61E-05,-1.45E-05,-4.28E-06,2.33E-05,-3.80E-05,-5.02E-05,-2.26E-05,6.40E-06,3.60E-06,3.60E-06,-4.24E-05,-3.44E-05,-1.04E-05,-7.21E-06,3.09E-05,6.04E-06,,,,,,,,,,
2283.305,1.39E-05,-1.28E-05,-4.84E-06,1.80E-05,-3.53E-05,-5.78E-05,-2.34E-05,9.17E-07,1.96E-06,1.96E-06,-4.74E-05,-3.81E-05,-1.68E-05,-2.25E-06,2.29E-05,1.68E-06,,,,,,,,,,
2283.787,9.77E-06,-8.88E-06,-3.51E-06,1.44E-05,-3.07E-05,-6.07E-05,-2.11E-05,3.16E-07,5.09E-06,5.09E-06,-5.06E-05,-3.81E-05,-2.30E-05,2.85E-06,1.94E-05,-2.32E-06,,,,,,,,,,
2284.269,3.54E-06,-4.62E-06,-4.29E-07,1.14E-05,-2.65E-05,-5.92E-05,-1.72E-05,3.86E-06,1.09E-05,1.09E-05,-5.30E-05,-3.52E-05,-2.98E-05,7.31E-06,2.01E-05,-5.74E-06,,,,,,,,,,
2284.751,-5.32E-06,-2.62E-06,3.53E-06,7.84E-06,-2.50E-05,-5.48E-05,-1.38E-05,9.32E-06,1.61E-05,1.61E-05,-5.57E-05,-3.17E-05,-3.83E-05,1.01E-05,2.32E-05,-9.16E-06,,,,,,,,,,
2285.234,-1.66E-05,-5.08E-06,7.39E-06,3.24E-06,-2.77E-05,-4.89E-05,-1.19E-05,1.43E-05,1.85E-05,1.85E-05,-5.85E-05,-2.93E-05,-4.82E-05,1.11E-05,2.66E-05,-1.31E-05,,,,,,,,,,
2285.716,-3.01E-05,-1.26E-05,9.93E-06,-1.89E-06,-3.53E-05,-4.25E-05,-1.23E-05,1.66E-05,1.68E-05,1.68E-05,-6.09E-05,-2.96E-05,-5.82E-05,1.08E-05,2.83E-05,-1.83E-05,,,,,,,,,,
2286.198,-4.46E-05,-2.40E-05,1.07E-05,-5.81E-06,-4.61E-05,-3.58E-05,-1.42E-05,1.48E-05,1.12E-05,1.12E-05,-6.10E-05,-3.25E-05,-6.59E-05,1.04E-05,2.76E-05,-2.47E-05,,,,,,,,,,
2286.68,-5.85E-05,-3.69E-05,9.79E-06,-6.43E-06,-5.79E-05,-2.88E-05,-1.60E-05,8.92E-06,3.81E-06,3.81E-06,-5.68E-05,-3.69E-05,-6.89E-05,1.17E-05,2.55E-05,-3.10E-05,,,,,,,,,,
2287.162,-6.98E-05,-4.88E-05,8.46E-06,-2.32E-06,-6.82E-05,-2.11E-05,-1.64E-05,-4.55E-07,-3.57E-06,-3.57E-06,-4.73E-05,-4.10E-05,-6.59E-05,1.49E-05,2.37E-05,-3.60E-05,,,,,,,,,,
2287.644,-7.73E-05,-5.78E-05,7.83E-06,6.51E-06,-7.50E-05,-1.31E-05,-1.45E-05,-1.19E-05,-9.44E-06,-9.44E-06,-3.27E-05,-4.34E-05,-5.76E-05,1.95E-05,2.41E-05,-3.81E-05,,,,,,,,,,
