Wavenumbers,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
cm-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2268.36,-8.56E-06,-1.08E-05,5.41E-05,3.10E-05,-9.06E-06,8.57E-06,-5.47E-05,-3.88E-05,-6.96E-05,-2.36E-05,-5.09E-05,-4.58E-05,-4.08E-05,-8.65E-05,-7.12E-05,-7.51E-05
2268.842,-1.40E-05,-2.07E-05,4.26E-05,3.70E-05,-8.75E-07,1.61E-05,-4.29E-05,-2.17E-05,-4.95E-05,-3.38E-06,-3.10E-05,-2.82E-05,-2.25E-05,-6.14E-05,-4.81E-05,-5.43E-05
2269.324,-1.66E-05,-2.86E-05,3.06E-05,4.26E-05,7.31E-06,2.18E-05,-3.36E-05,-7.29E-06,-3.28E-05,1.21E-05,-1.52E-05,-1.27E-05,-8.03E-06,-3.86E-05,-2.94E-05,-3.70E-05
2269.806,-1.60E-05,-3.30E-05,1.98E-05,4.60E-05,1.10E-05,1.95E-05,-3.52E-05,-6.33E-06,-3.21E-05,1.05E-05,-1.59E-05,-1.26E-05,-1.09E-05,-3.25E-05,-2.96E-05,-3.72E-05
2270.288,-1.31E-05,-3.37E-05,1.06E-05,4.66E-05,8.76E-06,7.97E-06,-4.88E-05,-2.11E-05,-4.99E-05,-1.03E-05,-3.53E-05,-3.11E-05,-3.35E-05,-4.68E-05,-5.17E-05,-5.80E-05
2270.77,-8.56E-06,-3.09E-05,3.47E-06,4.58E-05,3.34E-06,-7.39E-06,-6.69E-05,-4.37E-05,-7.76E-05,-4.08E-05,-6.36E-05,-5.86E-05,-6.60E-05,-7.24E-05,-8.55E-05,-8.94E-05
2271.252,-3.60E-06,-2.61E-05,-1.15E-06,4.55E-05,-3.05E-07,-1.80E-05,-7.76E-05,-6.02E-05,-1.00E-04,-6.53E-05,-8.45E-05,-7.90E-05,-9.14E-05,-9.35E-05,-1.13E-04,-1.14E-04
2271.734,9.64E-07,-2.02E-05,-2.99E-06,4.75E-05,1.40E-06,-1.72E-05,-7.28E-05,-6.05E-05,-1.06E-04,-7.11E-05,-8.49E-05,-7.95E-05,-9.61E-05,-9.69E-05,-1.20E-04,-1.17E-04
2272.217,4.43E-06,-1.44E-05,-2.07E-06,5.13E-05,8.85E-06,-4.77E-06,-5.21E-05,-4.28E-05,-9.17E-05,-5.59E-05,-6.32E-05,-5.84E-05,-7.79E-05,-8.02E-05,-1.03E-04,-9.70E-05
2272.698,6.51E-06,-9.45E-06,1.37E-06,5.48E-05,1.87E-05,1.30E-05,-2.45E-05,-1.56E-05,-6.70E-05,-2.92E-05,-2.95E-05,-2.64E-05,-4.74E-05,-5.31E-05,-7.20E-05,-6.31E-05
2273.181,7.12E-06,-5.41E-06,6.73E-06,5.54E-05,2.56E-05,2.68E-05,-2.33E-06,7.67E-06,-4.59E-05,-5.81E-06,-5.33E-07,-3.47E-08,-2.13E-05,-3.13E-05,-4.32E-05,-3.26E-05
2273.663,6.25E-06,-2.40E-06,1.27E-05,5.08E-05,2.60E-05,2.95E-05,4.16E-06,1.56E-05,-4.03E-05,1.44E-06,1.00E-05,7.18E-06,-1.34E-05,-2.75E-05,-3.09E-05,-2.00E-05
2274.145,4.21E-06,-1.19E-07,1.79E-05,4.11E-05,2.00E-05,2.01E-05,-6.15E-06,5.93E-06,-5.27E-05,-9.73E-06,-7.51E-07,-7.03E-06,-2.64E-05,-4.30E-05,-3.84E-05,-2.88E-05
2274.627,1.25E-06,1.56E-06,2.08E-05,2.83E-05,1.13E-05,4.08E-06,-2.59E-05,-1.43E-05,-7.46E-05,-3.07E-05,-2.42E-05,-3.30E-05,-5.07E-05,-6.82E-05,-5.70E-05,-5.05E-05
2275.109,-2.15E-06,2.85E-06,2.09E-05,1.60E-05,5.61E-06,-9.32E-06,-4.25E-05,-3.24E-05,-9.19E-05,-4.66E-05,-4.43E-05,-5.40E-05,-7.01E-05,-8.63E-05,-7.11E-05,-6.95E-05
2275.591,-5.61E-06,3.44E-06,1.75E-05,7.06E-06,6.71E-06,-1.31E-05,-4.63E-05,-3.87E-05,-9.31E-05,-4.60E-05,-4.83E-05,-5.72E-05,-7.16E-05,-8.50E-05,-6.84E-05,-7.32E-05
2276.073,-8.24E-06,3.83E-06,1.19E-05,3.25E-06,1.52E-05,-5.61E-06,-3.54E-05,-3.14E-05,-7.58E-05,-2.71E-05,-3.33E-05,-4.00E-05,-5.30E-05,-6.25E-05,-4.71E-05,-5.92E-05
2276.555,-9.88E-06,3.66E-06,5.05E-06,3.62E-06,2.71E-05,7.80E-06,-1.69E-05,-1.85E-05,-4.89E-05,6.51E-07,-8.19E-06,-1.28E-05,-2.46E-05,-3.02E-05,-1.79E-05,-3.72E-05
2277.038,-1.01E-05,3.29E-06,-1.29E-06,6.08E-06,3.70E-05,1.87E-05,-2.46E-06,-1.19E-05,-2.65E-05,2.19E-05,1.21E-05,8.46E-06,-2.81E-06,-4.73E-06,2.70E-06,-2.27E-05
2277.52,-9.04E-06,2.65E-06,-5.85E-06,8.41E-06,4.09E-05,2.07E-05,-2.60E-07,-2.00E-05,-1.98E-05,2.50E-05,1.56E-05,1.08E-05,1.23E-07,9.58E-07,2.22E-06,-2.67E-05
2278.002,-7.00E-06,2.05E-06,-7.52E-06,9.57E-06,3.86E-05,1.34E-05,-1.13E-05,-4.25E-05,-3.09E-05,8.60E-06,3.04E-07,-7.63E-06,-1.75E-05,-1.48E-05,-2.06E-05,-4.97E-05
2278.484,-4.19E-06,1.54E-06,-5.84E-06,9.91E-06,3.35E-05,2.24E-06,-2.79E-05,-6.98E-05,-5.17E-05,-1.82E-05,-2.45E-05,-3.71E-05,-4.49E-05,-4.16E-05,-5.51E-05,-8.02E-05
2278.966,-9.92E-07,1.40E-06,-8.78E-07,1.10E-05,3.05E-05,-4.47E-06,-3.87E-05,-8.86E-05,-6.94E-05,-4.07E-05,-4.47E-05,-6.17E-05,-6.61E-05,-6.33E-05,-8.46E-05,-1.02E-04
2279.448,2.91E-06,1.83E-06,6.58E-06,1.42E-05,3.34E-05,-3.73E-07,-3.48E-05,-8.86E-05,-7.31E-05,-4.68E-05,-4.82E-05,-6.84E-05,-6.77E-05,-6.68E-05,-9.52E-05,-1.03E-04
2279.93,7.24E-06,2.85E-06,1.55E-05,1.95E-05,4.16E-05,1.47E-05,-1.60E-05,-6.94E-05,-6.12E-05,-3.50E-05,-3.38E-05,-5.49E-05,-4.78E-05,-5.03E-05,-8.44E-05,-8.12E-05
2280.412,1.24E-05,4.43E-06,2.47E-05,2.63E-05,5.16E-05,3.52E-05,9.96E-06,-3.98E-05,-4.15E-05,-1.37E-05,-9.93E-06,-2.99E-05,-1.62E-05,-2.32E-05,-6.08E-05,-4.87E-05
2280.895,1.83E-05,6.48E-06,3.29E-05,3.27E-05,5.79E-05,5.23E-05,3.08E-05,-1.40E-05,-2.65E-05,2.91E-06,8.77E-06,-8.54E-06,1.05E-05,-1.55E-06,-3.98E-05,-2.23E-05
2281.377,2.45E-05,8.26E-06,3.91E-05,3.72E-05,5.69E-05,5.93E-05,3.71E-05,-2.66E-06,-2.55E-05,4.10E-06,1.18E-05,-2.76E-06,1.99E-05,2.71E-06,-3.31E-05,-1.50E-05
2281.859,3.08E-05,9.42E-06,4.30E-05,3.97E-05,4.93E-05,5.57E-05,2.78E-05,-7.53E-06,-3.86E-05,-1.08E-05,-1.80E-06,-1.41E-05,9.62E-06,-1.18E-05,-4.19E-05,-2.78E-05
2282.341,3.64E-05,9.51E-06,4.46E-05,4.15E-05,3.92E-05,4.70E-05,1.01E-05,-2.07E-05,-5.67E-05,-3.22E-05,-2.22E-05,-3.32E-05,-1.05E-05,-3.52E-05,-5.67E-05,-5.03E-05
2282.823,4.08E-05,8.41E-06,4.47E-05,4.42E-05,3.21E-05,4.10E-05,-5.25E-06,-3.05E-05,-6.74E-05,-4.64E-05,-3.54E-05,-4.61E-05,-2.62E-05,-5.26E-05,-6.35E-05,-6.67E-05
2283.305,4.39E-05,6.41E-06,4.41E-05,4.89E-05,3.20E-05,4.35E-05,-9.54E-06,-2.75E-05,-6.17E-05,-4.29E-05,-3.13E-05,-4.22E-05,-2.58E-05,-5.30E-05,-5.21E-05,-6.52E-05
2283.787,4.55E-05,4.05E-06,4.40E-05,5.55E-05,3.85E-05,5.50E-05,-1.85E-06,-1.10E-05,-4.02E-05,-2.13E-05,-9.93E-06,-2.10E-05,-8.09E-06,-3.58E-05,-2.27E-05,-4.48E-05
2284.269,4.57E-05,1.89E-06,4.48E-05,6.22E-05,4.81E-05,6.99E-05,1.13E-05,1.08E-05,-1.28E-05,8.67E-06,1.86E-05,7.60E-06,1.71E-05,-1.13E-05,1.32E-05,-1.58E-05
2284.751,4.46E-05,3.56E-07,4.66E-05,6.72E-05,5.47E-05,7.99E-05,1.92E-05,2.57E-05,6.33E-06,3.21E-05,3.89E-05,2.85E-05,3.49E-05,5.37E-06,3.98E-05,5.60E-06
2285.234,4.23E-05,-2.48E-07,4.87E-05,6.88E-05,5.47E-05,7.97E-05,1.48E-05,2.47E-05,7.46E-06,3.82E-05,4.01E-05,3.05E-05,3.40E-05,3.05E-06,4.57E-05,7.49E-06
2285.716,3.89E-05,-2.55E-07,5.01E-05,6.69E-05,4.76E-05,6.90E-05,-2.05E-06,7.20E-06,-9.81E-06,2.52E-05,2.13E-05,1.28E-05,1.38E-05,-1.83E-05,3.07E-05,-1.13E-05
2286.198,3.42E-05,-3.01E-08,4.97E-05,6.21E-05,3.71E-05,5.35E-05,-2.36E-05,-1.80E-05,-3.60E-05,2.19E-06,-7.55E-06,-1.46E-05,-1.59E-05,-4.81E-05,5.26E-06,-4.06E-05
2286.68,2.87E-05,6.24E-08,4.65E-05,5.66E-05,2.86E-05,4.13E-05,-3.86E-05,-3.80E-05,-5.70E-05,-1.67E-05,-3.13E-05,-3.68E-05,-3.98E-05,-7.06E-05,-1.46E-05,-6.46E-05
2287.162,2.26E-05,-2.43E-07,4.06E-05,5.14E-05,2.57E-05,3.79E-05,-3.92E-05,-4.39E-05,-6.30E-05,-2.16E-05,-3.94E-05,-4.31E-05,-4.74E-05,-7.52E-05,-1.80E-05,-7.24E-05
2287.644,1.67E-05,-5.82E-07,3.27E-05,4.67E-05,2.88E-05,4.37E-05,-2.54E-05,-3.42E-05,-5.29E-05,-1.11E-05,-3.03E-05,-3.21E-05,-3.76E-05,-6.14E-05,-4.55E-06,-6.27E-05
2288.126,1.17E-05,-6.55E-07,2.41E-05,4.16E-05,3.45E-05,5.30E-05,-4.71E-06,-1.66E-05,-3.50E-05,6.73E-06,-1.30E-05,-1.31E-05,-1.99E-05,-3.96E-05,1.55E-05,-4.52E-05
2288.608,8.26E-06,2.00E-07,1.67E-05,3.48E-05,3.82E-05,5.84E-05,1.20E-05,-2.29E-06,-2.14E-05,1.97E-05,-7.71E-07,8.21E-07,-7.33E-06,-2.42E-05,2.81E-05,-3.31E-05
2289.091,6.99E-06,2.51E-06,1.23E-05,2.64E-05,3.71E-05,5.51E-05,1.68E-05,4.60E-07,-2.10E-05,1.93E-05,-3.31E-06,2.38E-07,-9.36E-06,-2.54E-05,2.33E-05,-3.64E-05
2289.573,8.00E-06,6.55E-06,1.20E-05,1.73E-05,3.14E-05,4.36E-05,8.90E-06,-9.07E-06,-3.37E-05,6.08E-06,-2.07E-05,-1.44E-05,-2.51E-05,-4.27E-05,2.36E-06,-5.39E-05
2290.055,1.09E-05,1.20E-05,1.61E-05,9.69E-06,2.45E-05,2.97E-05,-4.74E-06,-2.36E-05,-5.08E-05,-1.08E-05,-4.35E-05,-3.37E-05,-4.38E-05,-6.54E-05,-2.37E-05,-7.53E-05
2290.537,1.54E-05,1.82E-05,2.42E-05,6.47E-06,2.15E-05,2.15E-05,-1.37E-05,-3.24E-05,-6.01E-05,-1.82E-05,-5.76E-05,-4.40E-05,-5.08E-05,-7.81E-05,-3.90E-05,-8.58E-05
2291.019,2.07E-05,2.46E-05,3.50E-05,8.97E-06,2.53E-05,2.42E-05,-1.07E-05,-2.91E-05,-5.34E-05,-7.88E-06,-5.37E-05,-3.68E-05,-3.70E-05,-7.08E-05,-3.37E-05,-7.63E-05
2291.501,2.60E-05,3.03E-05,4.67E-05,1.71E-05,3.54E-05,3.72E-05,4.38E-06,-1.46E-05,-3.19E-05,1.88E-05,-3.17E-05,-1.36E-05,-4.00E-06,-4.44E-05,-8.74E-06,-4.90E-05
2291.983,3.08E-05,3.43E-05,5.73E-05,2.89E-05,4.78E-05,5.43E-05,2.41E-05,1.95E-06,-5.67E-06,5.07E-05,-1.77E-06,1.38E-05,3.51E-05,-1.05E-05,2.35E-05,-1.64E-05
2292.465,3.39E-05,3.59E-05,6.51E-05,4.12E-05,5.74E-05,6.73E-05,3.86E-05,9.34E-06,1.29E-05,7.38E-05,2.26E-05,3.08E-05,6.44E-05,1.50E-05,4.70E-05,5.50E-06
2292.948,3.52E-05,3.46E-05,6.91E-05,5.17E-05,6.08E-05,7.07E-05,4.05E-05,5.73E-07,1.50E-05,7.80E-05,3.13E-05,2.81E-05,7.20E-05,2.13E-05,5.02E-05,5.85E-06
2293.43,3.42E-05,3.04E-05,6.91E-05,5.90E-05,5.81E-05,6.42E-05,2.95E-05,-2.26E-05,1.68E-06,6.32E-05,2.40E-05,6.62E-06,5.77E-05,7.84E-06,3.28E-05,-1.47E-05
2293.912,3.09E-05,2.35E-05,6.57E-05,6.33E-05,5.22E-05,5.31E-05,1.21E-05,-5.05E-05,-1.81E-05,3.84E-05,8.91E-06,-2.22E-05,3.14E-05,-1.55E-05,4.86E-06,-4.50E-05
2294.394,2.62E-05,1.48E-05,6.00E-05,6.53E-05,4.76E-05,4.47E-05,-1.98E-06,-7.03E-05,-3.16E-05,1.72E-05,-1.39E-06,-4.27E-05,8.53E-06,-3.38E-05,-1.84E-05,-6.88E-05
2294.876,2.08E-05,5.35E-06,5.35E-05,6.60E-05,4.71E-05,4.41E-05,-6.07E-06,-7.36E-05,-3.05E-05,9.05E-06,1.44E-06,-4.44E-05,-3.35E-08,-3.70E-05,-2.64E-05,-7.50E-05
2295.358,1.61E-05,-3.08E-06,4.72E-05,6.57E-05,5.06E-05,5.10E-05,1.54E-07,-6.02E-05,-1.57E-05,1.50E-05,1.68E-05,-2.67E-05,7.13E-06,-2.44E-05,-1.84E-05,-6.29E-05
2295.84,1.31E-05,-9.16E-06,4.19E-05,6.41E-05,5.49E-05,6.04E-05,1.05E-05,-3.91E-05,3.38E-06,2.69E-05,3.54E-05,1.28E-07,2.09E-05,-5.52E-06,-4.13E-06,-4.24E-05
2296.322,1.26E-05,-1.18E-05,3.76E-05,6.08E-05,5.63E-05,6.53E-05,1.64E-05,-2.23E-05,1.44E-05,3.38E-05,4.50E-05,2.17E-05,2.82E-05,6.31E-06,2.82E-06,-2.77E-05
2296.804,1.42E-05,-1.08E-05,3.39E-05,5.60E-05,5.30E-05,6.15E-05,1.30E-05,-1.78E-05,9.43E-06,2.87E-05,3.86E-05,2.78E-05,2.02E-05,2.86E-06,-6.06E-06,-2.81E-05
2297.287,1.74E-05,-6.79E-06,3.03E-05,5.09E-05,4.65E-05,4.98E-05,1.65E-06,-2.59E-05,-1.03E-05,1.31E-05,1.82E-05,1.77E-05,-1.87E-06,-1.51E-05,-2.99E-05,-4.30E-05
2297.769,2.08E-05,-8.29E-07,2.63E-05,4.70E-05,4.11E-05,3.62E-05,-1.01E-05,-3.88E-05,-3.50E-05,-3.59E-06,-5.65E-06,8.65E-09,-2.80E-05,-3.71E-05,-5.79E-05,-6.24E-05
2298.251,2.32E-05,5.23E-06,2.16E-05,4.56E-05,4.12E-05,2.75E-05,-1.36E-05,-4.63E-05,-5.26E-05,-1.03E-05,-2.02E-05,-1.33E-05,-4.52E-05,-5.07E-05,-7.64E-05,-7.36E-05
2298.733,2.39E-05,1.01E-05,1.67E-05,4.71E-05,4.92E-05,2.84E-05,-3.40E-06,-4.09E-05,-5.44E-05,-1.86E-07,-1.72E-05,-1.40E-05,-4.43E-05,-4.77E-05,-7.62E-05,-6.80E-05
2299.215,2.28E-05,1.26E-05,1.19E-05,5.00E-05,6.34E-05,3.82E-05,1.80E-05,-2.38E-05,-4.11E-05,2.36E-05,1.38E-06,-2.83E-06,-2.68E-05,-3.01E-05,-5.88E-05,-4.80E-05
2299.697,2.04E-05,1.21E-05,7.94E-06,5.23E-05,7.86E-05,5.15E-05,4.21E-05,-3.31E-06,-2.18E-05,4.99E-05,2.50E-05,1.11E-05,-3.44E-06,-8.84E-06,-3.47E-05,-2.48E-05
2300.179,1.77E-05,8.45E-06,4.94E-06,5.23E-05,8.89E-05,6.08E-05,5.79E-05,9.00E-06,-8.26E-06,6.49E-05,3.97E-05,1.54E-05,1.14E-05,2.36E-06,-1.83E-05,-1.30E-05
2300.661,1.57E-05,2.61E-06,3.07E-06,4.93E-05,9.07E-05,6.22E-05,5.91E-05,6.13E-06,-8.42E-06,6.05E-05,3.74E-05,3.60E-06,8.70E-06,-4.26E-06,-1.85E-05,-2.07E-05
2301.144,1.49E-05,-4.79E-06,1.83E-06,4.40E-05,8.40E-05,5.60E-05,4.63E-05,-1.12E-05,-2.13E-05,3.84E-05,1.93E-05,-2.17E-05,-1.12E-05,-2.60E-05,-3.41E-05,-4.61E-05
